temperature;year;month;country
4.70493;1968;3;Slovenia
10.2277;1968;4;Slovenia
13.3711;1968;5;Slovenia
16.1087;1968;6;Slovenia
17.8296;1968;7;Slovenia
16.343;1968;8;Slovenia
13.9127;1968;9;Slovenia
10.5837;1968;10;Slovenia
5.06777;1968;11;Slovenia
-2.441;1968;12;Slovenia
-1.7194;1969;1;Slovenia
-1.3528;1969;2;Slovenia
2.45768;1969;3;Slovenia
7.62847;1969;4;Slovenia
14.4546;1969;5;Slovenia
15.004;1969;6;Slovenia
17.8257;1969;7;Slovenia
16.2779;1969;8;Slovenia
14.7085;1969;9;Slovenia
10.0153;1969;10;Slovenia
6.0228;1969;11;Slovenia
-3.2281;1969;12;Slovenia
-0.9941;1970;1;Slovenia
-0.533;1970;2;Slovenia
2.10707;1970;3;Slovenia
6.77394;1970;4;Slovenia
10.5322;1970;5;Slovenia
17.036;1970;6;Slovenia
17.383;1970;7;Slovenia
17.6293;1970;8;Slovenia
14.6275;1970;9;Slovenia
8.57156;1970;10;Slovenia
6.13811;1970;11;Slovenia
-0.508;1970;12;Slovenia
-1.069;1971;1;Slovenia
1.31996;1971;2;Slovenia
1.11472;1971;3;Slovenia
9.29239;1971;4;Slovenia
13.8425;1971;5;Slovenia
15.181;1971;6;Slovenia
18.6245;1971;7;Slovenia
19.2684;1971;8;Slovenia
12.2557;1971;9;Slovenia
8.62311;1971;10;Slovenia
3.73865;1971;11;Slovenia
0.24144;1971;12;Slovenia
-1.9524;1972;1;Slovenia
2.49567;1972;2;Slovenia
6.16279;1972;3;Slovenia
8.26425;1972;4;Slovenia
12.0086;1972;5;Slovenia
16.285;1972;6;Slovenia
18.0053;1972;7;Slovenia
17.0837;1972;8;Slovenia
11.3416;1972;9;Slovenia
7.8832;1972;10;Slovenia
3.89321;1972;11;Slovenia
0.04013;1972;12;Slovenia
-0.7712;1973;1;Slovenia
0.4386;1973;2;Slovenia
3.19731;1973;3;Slovenia
